題目,A,B,C,D,E,答案,題目代碼
"QUESTION 11 Examine this package: CREATE OR REPLACE PACKAGE discounts IS g_id NUMBER := 7829; discount_rate NUMBER := 0.00; PROCEDURE display_price (p_price NUMBER); END discounts; / CREATE OR REPLACE PACKAGE BODY discounts IS PROCEDURE display_price (p_price NUMBER) IS BEGIN DBMS_OUTPUT.PUT_LINE('Discounted '|| TO_CHAR(p_price*NVL(discount_rate, 1))); END display_price; BEGIN / discount_rate := 0.10; END discounts; Which statement is true? Long",(A) The value of DISCOUNT_RATE always remains 0.00 in a session.,(B) The value of DISCOUNT_RATE is set to 0.10 each time the package is invoked in a session.,(C) The value of DISCOUNT_RATE is set to 1.00 each time the procedure DISPLAY_PRICE is invoked.,(D) The value of DISCOUNT_RATE is set to 0.10 when the package is invoked for the first time in a “session”.,,登入後查看,https://app.yamol.tw/exam/24548?info=item.11
"QUESTION 12 Examine this code: CREATE OR REPLACE TRIGGER update_emp AFTER UPDATE ON emp BEGIN INSERT INTO audit_table (who, dated) VALUES (USER, SYSDATE); END; You issue an UPDATE command in the EMP table that results in changing 10 rows. How many rows are inserted into the AUDIT_TABLE? short",(A) 1,(B) 10,(C) None,(D) A value equal to the number of rows in the EMP table.,,登入後查看,https://app.yamol.tw/exam/24548?info=item.12
"QUESTION 13 Examine this package: CREATE OR REPLACE PACKAGE BB_PACK IS V_MAX_TEAM_SALARY NUMBER(12,2); PROCEDURE ADD_PLAYER(V_ID IN NUMBER, V_LAST_NAME VARCHAR2, V_SALARY_NUMBER; END BB_PACK; / CREATE OR REPLACE PACKAGE BODY BB_PACK IS PROCEDURE UPD_PLAYER_STAT (V_ID IN NUMBER, V_AB IN NUMBER DEFAULT 4, V_HITS IN NUMBER) IS BEGIN UPDATE PLAYER_BAT_STAT SET AT_BATS = AT_BATS + V_AB, HITS = HITS + V_HITS WHERE PLAYER_ID = V_ID) COMMIT; END UPD_PLAYER_STAT; PROCEDURE ADD_PLAYER (V_ID IN NUMBER, V_LAST_NAME VARCHAR2, V_SALARY NUMBER) IS BEGIN INSERT INTO PLAYER(ID,LAST_NAME,SALARY) VALUES (V_ID, V_LAST_NAME, V_SALARY); UPD_PLAYER_STAT(V_ID,0.0); END ADD_PLAYER; END BB_PACK; Which statement will successfully assign $75,000,000 to the V_MAX_TEAM_SALARY variable from within a stand-alone procedure?",(A) V_MAX_TEAM_SALARY := 7500000;,(B) BB_PACK.ADD_PLAYER.V_MAX_TEAM_SALARY := 75000000;,(C) BB_PACK.V_MAX_TEAM_SALARY := 75000000;,(D) This variable cannot be assigned a value from outside the package.,,登入後查看,https://app.yamol.tw/exam/24548?info=item.13
QUESTION 14 There is a CUSTOMER table in a schema that has a public synonym CUSTOMER and you are granted all object privileges on it. You have a procedure PROCESS_CUSTOMER that processes customer information that is in the public synonym CUSTOMER table. You have just created a new table called CUSTOMER within your schema. Which statement is true?,(A) Creating the table has no effect and procedure PROCESS_CUSTOMER still accesses data from public synonym CUSTOMER table.,(B) If the structure of your CUSTOMER table is the same as the public synonym CUSTOMER table then the procedure PROCESS_CUSTOMER is invalidated and gives compilation errors.,(C) If the structure of your CUSTOMER table is entirely different from the public synonym CUSTOMER table then the procedure PROCESS_CUSTOMER successfully recompiles and accesses your CUSTOMER table.,(D) If the structure of your CUSTOMER table is the same as the public synonym CUSTOMER table then the procedure PROCESS_CUSTOMER successfully recompiles when invoked and accesses your CUSTOMER table.,,登入後查看,https://app.yamol.tw/exam/24548?info=item.14
"複選題
QUESTION 15 Which two statements about packages are true? (Choose two)",(A) Both the specification and body are required components of a package.,"(B) The package specification is optional, but the package body is required.","(C) The package specification is required, but the package body is optional.",(D) The specification and body of the package are stored together in the database.,(E) The specification and body of the package are stored separately in the database.,登入後查看,https://app.yamol.tw/exam/24548?info=item.15
"QUESTION 16 When creating a function in SQL *Plus, you receive this message: ""Warning: Function created with compilation errors."" Which command can you issue to see the actual error message?",(A) SHOW FUNCTION_ERROR,(B) SHOW USER_ERRORS,(C) SHOW ERRORS,(D) SHOW ALL_ERRORS,,登入後查看,https://app.yamol.tw/exam/24548?info=item.16
QUESTION 17 Which four triggering events can cause a trigger to fire? (Choose four) short 1. A specific error or any errors occurs. 2. A database is shut down or started up. 3. A specific user or any user logs on or off. 4. A user executes a CREATE or an ALTER table statement. 5. A user executes a SELECT statement with an ORDER BY clause. 6. A user executes a JOIN statement that uses four or more tables.,(A) 1234,(B) 2345,(C) 1245,(D) 3456,,登入後查看,https://app.yamol.tw/exam/24548?info=item.17
"QUESTION 18 Examine this procedure: CREATE OR REPLACE PROCEDURE ADD_PLAYER (V_ID IN NUMBER, V_LAST_NAME VARCHAR2) IS BEGIN INSERT INTO PLAYER (ID,LAST_NAME) VALUES (V_ID, V_LAST_NAME); COMMIT; END; This procedure must invoke the APD_BAT_STAT procedure and pass a parameter. Which statement, when added to the above procedure will successfully invoke the UPD_BAT_STAT procedure? short",(A) EXECUTE UPD_BAT_STAT(V_ID);,(B) UPD_BAT_STAT(V_ID);,(C) RUN UPD_BAT_STAT(V_ID);,(D) START UPD_BAT_STAT(V_ID);,,登入後查看,https://app.yamol.tw/exam/24548?info=item.18
QUESTION 19 Which statement about triggers is true? short,(A) You use an application trigger to fire when a DELETE statement occurs.,(B) You use a database trigger to fire when an INSERT statement occurs.,(C) You use a system event trigger to fire when an UPDATE statement occurs.,(D) You use INSTEAD OF trigger to fire when a SELECT statement occurs.,,登入後查看,https://app.yamol.tw/exam/24548?info=item.19
"You want to create a PL/SQL block of code that calculates discounts on customer orders. -This code will be invoked from several places, but only within the program unit ORDERTOTAL. What is the most appropriate location to store the code that calculates the discounts? long",(A) A stored procedure on the server.,(B) A block of code in a PL/SQL library.,(C) A standalone procedure on the client machine.,(D) A block of code in the body of the program unit ORDERTOTAL.,(E) A local subprogram defined within the program unit ORDERTOTAL.,登入後查看,https://app.yamol.tw/exam/24548?info=item.20
QUESTION 21 Which type of argument passes a value from a procedure to the calling environment?,(A) VARCHAR2,(B) BOOLEAN,(C) OUT,(D) IN,,登入後查看,https://app.yamol.tw/exam/24548?info=item.21
"QUESTION 22 You create a DML trigger. For the timing information, which is valid with a DML trigger?",(A) DURING,(B) INSTEAD,(C) ON SHUTDOWN,(D) BEFORE,(E) ON STATEMENT EXECUTION,登入後查看,https://app.yamol.tw/exam/24548?info=item.22
QUESTION 23 You are about to change the arguments of the CALC_TEAM_AVG function. Which dictionary view can you query to determine the names of the procedures and functions that invoke the CALC_TEAM_AVG function?,(A) USER_PROC_DEPENDS,(B) USER_DEPENDENCIES,(C) USER_REFERENCES,(D) USER_SOURCE,,登入後查看,https://app.yamol.tw/exam/24548?info=item.23
QUESTION 24 A CALL statement inside the trigger body enables you to call ______.,(A) A package.,(B) A stored function.,(C) A stored procedure.,(D) Another database trigger.,,登入後查看,https://app.yamol.tw/exam/24548?info=item.24
QUESTION 25 You need to remove the database triggerBUSINESS_HOUR. Which command do you use to remove the trigger in the SQL *Plus environment? short,(A) DROP TRIGGER business_hour;,(B) DELETE TRIGGER business_hour;,(C) REMOVE TRIGGER business_hour;,(D) ALTER TRIGGER business_hour REMOVE;,(E) DELETE FROM USER_TRIGGERS WHERE TRIGGER_NAME = 'BUSINESS_HOUR';,登入後查看,https://app.yamol.tw/exam/24548?info=item.25
QUESTION 26 How can you migrate from a LONG to a LOB data type for a column? S,(A) Use the DBMS_MANAGE_LOB.MIGRATE procedure.,(B) Use the UTL_MANAGE_LOB.MIGRATE procedure.,(C) Use the DBMS_LOB.MIGRATE procedure.,(D) Use the ALTER TABLE command.,(E) You cannot migrate from a LONG to a LOB date type for a column.,登入後查看,https://app.yamol.tw/exam/24548?info=item.26
"複選題
QUESTION 27 Examine this procedure: CREATE OR REPLACE PROCEDURE INSERT_TEAM (V_ID in NUMBER, V_CITY in VARCHAR2 DEFAULT 'AUSTIN', V_NAME in VARCHAR2) IS BEGIN INSERT INTO TEAM (id, city, name) VALUES (v_id, v_city, v_name); COMMIT; END Which two statements will successfully invoke this procedure in SQL *Plus? (Choose two)",(A) EXECUTE INSERT_TEAM;,"(B) EXECUTE INSERT_TEAM(3, V_NAME=>'LONGHORNS', V_CITY=>'AUSTIN');","(C) EXECUTE INSERT_TEAM(3, 'AUSTIN','LONGHORNS');","(D) EXECUTE INSERT_TEAM (V_ID := V_NAME := 'LONGHORNS', V_CITY := 'AUSTIN');","(E) EXECUTE INSERT_TEAM (3, 'LONGHORNS');",登入後查看,https://app.yamol.tw/exam/24548?info=item.27
"QUESTION 28 To be callable from a SQL expression, a user-defined function must do what?",(A) Be stored only in the database.,(B) Have both IN and OUT parameters.,(C) Use the positional notation for parameters.,(D) Return a BOOLEAN or VARCHAR2 data type.,,登入後查看,https://app.yamol.tw/exam/24548?info=item.28
"複選題
QUESTION 29 Which two describe a stored procedure? (Choose two)",(A) A stored procedure is typically written in SQL.,(B) A stored procedure is a named PL/SQL block that can accept parameters.,(C) A stored procedure is a type of PL/SQL subprogram that performs an action.,"(D) A stored procedure has three parts: the specification, the body, and the exception handler part.","(E) The executable section of a stored procedure contains statements that assigns values, control execution, and return values to the calling environment.",登入後查看,https://app.yamol.tw/exam/24548?info=item.29
"複選題
QUESTION 30 Examine this code: CREATE OR REPLACE PROCEDURE add_dept ( p_name departments.department_name%TYPE DEFAULT 'unknown', p_loc departments.location_id%TYPE DEFAULT 1700) IS BEGIN INSERT INTO departments(department_id, department_name, loclation_id) VALUES(dept_seq.NEXTVAL,p_name, p_loc); END add_dept; / You created the add_dept procedure above, and you now invoke the procedure in SQL *Plus. Which four are valid invocations? (Choose four)",(A) EXECUTE add_dept(p_loc=>2500),"(B) EXECUTE add_dept('Education', 2500)","(C) EXECUTE add_dept('2500', p_loc =>2500)","(D) EXECUTE add_dept(p_name=>'Education', 2500)","(E) EXECUTE add_dept(p_loc=>2500, p_name=>'Education')",登入後查看,https://app.yamol.tw/exam/24548?info=item.30
"複選題
QUESTION 31 Which three are valid ways to minimize dependency failure? (Choose three) not s~",(A) Querying with the SELECT * notification.,(B) Declaring variables with the %TYPE attribute.,(C) Specifying schema names when referencing objects.,(D) Declaring records by using the %ROWTYPE attribute.,(E) Specifying package.procedure notation while executing procedures.,登入後查看,https://app.yamol.tw/exam/24548?info=item.31
"複選題
QUESTION 32 Which two does the INSTEAD OF clause in a trigger identify? (Choose two) view event",(A) The view associated with the trigger.,(B) The table associated with the trigger.,(C) The event associated with the trigger.,(D) The package associated with the trigger.,(E) The statement level or for each row association to the trigger.,登入後查看,https://app.yamol.tw/exam/24548?info=item.32
"QUESTION 33 Examine this package: CREATE OR REPLACE PACKAGE manage_emps IS tax_rate CONSTANT NUMBER(5,2) := .28; v_id NUMBER; PROCEDURE insert_emp (p_deptno NUMBER, p_sal NUMBER); PROCEDURE delete_emp; PROCEDURE update_emp; FUNCTION calc_tax (p_sal NUMBER) RETURN NUMBER; END manage_emps; / CREATE OR REPLACE PACKAGE BODY manage_emps IS PROCEDURE update_sal (p_raise_amt NUMBER) IS BEGIN UPDATE emp SET sal = (sal * p_raise_emt) + sal WHERE empno = v_id; END; PROCEDURE insert_emp (p_deptno NUMBER, p_sal NUMBER) IS BEGIN INSERT INTO emp(empno, deptno, sal) VALYES(v_id, p_depntno, p_sal); END insert_emp; PROCEDURE delete_emp IS BEGIN DELETE FROM emp WHERE empno = v_id; END delete_emp; PROCEDURE update_emp IS v_sal NUMBER(10, 2); v_raise NUMBER(10, 2); BEGIN SELECT sal INTO v_sal FROM emp WHERE empno = v_id; IF v_sal < 500 THEN v_raise := .05; ELSIP v_sal < 1000 THEN v_raise := .07; ELSE v_raise := .04; END IF; update_sal(v_raise); END update_emp; FUNCTION calc_tax (p_sal NUMBER) RETURN NUMBER IS BEGIN RETURN p_sal * tax_rate; END calc_tax; END manage_emps; / What is the name of the private procedure in this package?",(A) CALC_TAX,(B) INSERT_EMP,(C) UPDATE_SAL,(D) DELETE_EMP,(E) UPDATE_EMP F. MANAGE_EMPS,登入後查看,https://app.yamol.tw/exam/24548?info=item.33
QUESTION 34 What can you do with the DBMS_LOB package? long,(A) Use the DBMS_LOB.WRITE procedure to write data to a BFILE.,(B) Use the DBMS_LOB.BFILENAME function to locate an external BFILE.,(C) Use the DBMS_LOB.FILEEXISTS function to find the location of a BFILE.,(D) Use the DBMS_LOB.FILECLOSE procedure to close the file being accessed.,,登入後查看,https://app.yamol.tw/exam/24548?info=item.34
"QUESTION 35 Examine this package: CREATE OR REPLACE PACKAGE BB_PACK IS V_MAX_TEAM_SALARY NUMBER(12,2); PROCEDURE ADD_PLAYER(V_ID IN NUMBER, V_LAST_NAME VARCHAR2, V_SALARY NUMBER); END BB_PACK; / CREATE OR REPLACE PACKAGE BODY BB_PACK IS V_PLAYER_AVG NUMBER(4,3); PROCEDURE UPD_PLAYER_STAT V_ID IN NUMBER, V_AB IN NUMBER DEFAULT 4, V_HITS IN NUMBER) IS BEGIN UPDATE PLAYER_BAT_STAT SET AT_BATS = AT_BATS + V_AB, HITS = HITS + V_HITS WHERE PLAYER_ID = V_ID; COMMIT; VALIDATE_PLAYER_STAT(V_ID); END UPD_PLAYER_STAT; PROCEDURE ADD_PLAYER (V_ID IN NUMBER, V_LAST_NAME VARCHAR2, V_SALARY NUMBER) IS BEGIN INSERT INTO PLAYER(ID,LAST_NAME,SALARY) VALUES (V_ID, V_LAST_NAME, V_SALARY); UPD_PLAYER_STAT(V_ID,0,0); END ADD_PLAYER; END BB_PACK / Which statement will successfully assign .333 to the V_PLAYER_AVG variable from a procedure outside the package? 333 long",(A) V_PLAYER_AVG := .333;,(B) BB_PACK.UPD_PLAYER_STAT.V_PLAYER_AVG := .333;,(C) BB_PACK.V_PLAYER_AVG := .333;,(D) This variable cannot be assigned a value from outside of the package.,,登入後查看,https://app.yamol.tw/exam/24548?info=item.35
QUESTION 36 Examine this code: CREATE OR REPLACE PACKAGE comm_package IS g_comm NUMBER := 10; PROCEDURE reset_comm(p_comm IN NUMBER); END comm_package; / User Jones executes the following code at 9:01am: EXECUTE comm_package.g_comm := 15 User Smith executes the following code at 9:05am: EXECUTE comm_paclage.g_comm := 20 Which statement is true?,(A) g_comm has a value of 15 at 9:06am for Smith.,(B) g_comm has a value of 15 at 9:06am for Jones.,(C) g_comm has a value of 20 at 9:06am for both Jones and Smith.,(D) g_comm has a value of 15 at 9:03 am for both Jones and Smith.,(E) g_comm has a value of 10 at 9:06am for both Jones and Smith. (AB). g_comm has a value of 10 at 9:03am for both Jones and Smith,登入後查看,https://app.yamol.tw/exam/24548?info=item.36
"QUESTION 37 Examine this code: CREATE OR REPLACE FUNCTION gen_email_name (p_first_name VARCHAR2, p_last_name VARCHAR2, p_id NUMBER) RETURN VARCHAR2 IS v_email_name VARCHAR2(19=; BEGIN v_email_name := SUBSTR(p_first_name, 1, 1) || SUBSTR(p_last_name, 1, 7) || '@Oracle.com'; UPDATE employees SET email = v_email_name WHERE employee_id = p_id; RETURN v_email_name; END; Which statement removes the function?",(A) DROP gen_email_name;,(B) REMOVE gen_email_name;,(C) DELETE gen_email_name;,(D) TRUNCATE gen_email_name;,(E) DROP FUNCTION gen_email_name; (AB).ALTER FUNCTION gen_email_name REMOVE;,登入後查看,https://app.yamol.tw/exam/24548?info=item.37
"複選題
QUESTION 38 Examine this procedure: CREATE OR REPLACE PROCEDURE UPD_BAT_STAT (V_ID IN NUMBER DEFAULT 10, V_AB IN NUMBER DEFAULT 4) IS BEGIN UPDATE PLAYER_BAT_STAT SET AT_BATS = AT_BATS + V_AB WHERE PLAYER_ID = V_ID; COMMIT; END; Which two statements will successfully invoke this procedure in SQL *Plus? (Choose two)",(A) EXECUTE UPD_BAT_STAT;,"(B) EXECUTE UPD_BAT_STAT(V_AB=>10, V_ID=>31);","(C) EXECUTE UPD_BAT_STAT(31, 'FOUR','TWO');","(D) UPD_BAT_STAT(V_AB=>10, V_ID=>31);",(E) RUN UPD_BAT_STAT;,登入後查看,https://app.yamol.tw/exam/24548?info=item.38
QUESTION 39 Examine this code: CREATE OR REPLACE PROCEDURE audit_action (p_who VARCHAR2) AS BEGIN INSERT INTO audit(schema_user) VALUES(p_who); END audit_action; / CREATE OR REPLACE TRIGGER watch_it AFTER LOGON ON DATABASE CALL audit_action(ora_login_user) / What does this trigger do?,(A) The trigger records an audit trail when a user makes changes to the database.,(B) The trigger marks the user as logged on to the database before an audit statement is issued.,(C) The trigger invoked the procedure audit_action each time a user logs on to his/her schema and adds the username to the audit table.,(D) The trigger invokes the procedure audit_action each time a user logs on to the database and adds the username to the audit table.,,登入後查看,https://app.yamol.tw/exam/24548?info=item.39
"QUESTION 40 Which view displays indirect dependencies, indenting each dependency?",(A) DEPTREE,(B) IDEPTREE,(C) INDENT_TREE,(D) I_DEPT_TREE,,登入後查看,https://app.yamol.tw/exam/24548?info=item.40
QUESTION 41 The OLD and NEW qualifiers can be used in which type of trigger? short,(A) Row level DML trigger,(B) Row level system trigger,(C) Statement level DML trigger,(D) Row level application trigger,(E) Statement level system trigger (AB). Statement level application trigger,登入後查看,https://app.yamol.tw/exam/24548?info=item.41
QUESTION 42 Which statement is true? long,(A) Stored functions can be called from the SELECT and WHERE clauses only.,(B) Stored functions do not permit calculations that involve database links in a distributed environment.,"(C) Stored functions cannot manipulate new types of data, such as longitude and latitude.",(D) Stored functions can increase the efficiency of queries by performing functions in the query rather than in the application.,,登入後查看,https://app.yamol.tw/exam/24548?info=item.42
"QUESTION 43 Examine the trigger: CREATE OR REPLACE TRIGGER Emp_count AFTER DELETE ON Emp_tab FOR EACH ROW DELCARE n INTEGER; BEGIN SELECT COUNT(*) INTO n FROM Emp_tab; DBMS_OUTPUT.PUT_LINE(' There are now ' || a || ' employees,'); END; This trigger results in an error after this SQL statement is entered: DELETE FROM Emp_tab WHERE Empno = 7499; How do you correct the error? long",(A) Change the trigger type to a BEFORE DELET,(E),(B) Take out the COUNT function because it is not allowed in a trigger.,(C) Remove the DBMS_OUTPUT statement because it is not allowed in a trigger.,(D) Change the trigger to a statement-level trigger by removing FOR EACH ROW.,登入後查看,https://app.yamol.tw/exam/24548?info=item.43
QUESTION 44 What is true about stored procedures?short no 大寫,(A) A stored procedure uses the DELCLARE keyword in the procedure specification to declare formal parameters.,(B) A stored procedure is named PL/SQL block with at least one parameter declaration in the procedure specification.,(C) A stored procedure must have at least one executable statement in the procedure body.,(D) A stored procedure uses the DECLARE keyword in the procedure body to declare formal parameters.,,登入後查看,https://app.yamol.tw/exam/24548?info=item.44
"QUESTION 45 Examine this code: CREATE OR REPLACE PROCEDURE insert_dept (p_location_id NUMBER) IS v_dept_id NUMBER(4); BEGIN INSERT INTO departments VALUES (5, 'Education', 150, p_location_id); SELECT department_id INTO v_dept_id FROM employees WHERE employee_id=99999; END insert_dept; / CREATE OR REPLACE PROCEDURE insert_location ( p_location_id NUMBER, p_city VARCHAR2) IS BEGIN INSERT INTO locations(location_id, city) VALUES (p_location_id, p_city); insert_dept(p_location_id); END insert_location; / You just created the departments, the locations, and the employees table. You did not insert any rows. Next you created both procedures. You new invoke the insert_location procedure using the following command: EXECUTE insert_location (19, 'San Francisco') What is the result in thisEXECUTE command? and long","(A) The locations, departments, and employees tables are empty.",(B) The departments table has one row. The locations and the employees tables are empty.,(C) The location table has one row. The departments and the employees tables are empty.,(D) The locations table and the departments table both have one row. The employees table is empty.,,登入後查看,https://app.yamol.tw/exam/24548?info=item.45
QUESTION 46 The creation of which database objects will cause a DDL trigger to fire? (Choose all that apply) 1. Index 2. Cluster 3. Package 4. Function 5. Synonyms 6. Dimensions 7. Database links,(A) 12345,(B) 23456,(C) 12457,(D) 234567,,登入後查看,https://app.yamol.tw/exam/24548?info=item.46
"複選題
QUESTION 47 Which two program declarations are correct for a stored program unit? (Choose two) AC",(A) CREATE OR REPLACE FUNCTION tax_amt (p_id NUMBER) RETURN NUMBER,(B) CREATE OR REPLACE PROCEDURE tax_amt (p_id NUMBER) RETURN NUMBER,"(C) CREATE OR REPLACE PROCEDURE tax_amt (p_id NUMBER, p_amount OUT NUMBER)","(D) CREATE OR REPLACE FUNCTION tax_amt (p_id NUMBER) RETURN NUMBER(10,2)","(E) CREATE OR REPLACE PROCEDURE tax_amt (p_id NUMBER, p_amount OUT NUMBER(10, 2))",登入後查看,https://app.yamol.tw/exam/24548?info=item.47
"QUESTION 48 You need to implement a virtual private database (vpd). In order to have the vpd functionality, a trigger is required to fire when every user initiates a session in the database. What type of trigger needs to be created?",(A) DML trigger,(B) System event trigger,(C) INSTEAD OF trigger,(D) Application trigger,,登入後查看,https://app.yamol.tw/exam/24548?info=item.48
QUESTION 49 You have a row level BEFORE UPDATE trigger on the EMP table. This trigger contains a SELECT statement on the EMP table to ensure that the new salary value falls within the minimum and maximum salary for a given job title. What happens when you try to update a salary value in the EMP table?,(A) The trigger fires successfully.,(B) The trigger fails because it needs to be a row level AFTER UPDATE trigger.,(C) The trigger fails because a SELECT statement on the table being updated is not allowed.,(D) The trigger fails because you cannot use the minimum and maximum functions in a BEFORE UPDATE trigger.,,登入後查看,https://app.yamol.tw/exam/24548?info=item.49
"QUESTION 50 Examine this code: CREATE OR REPLACE STORED FUNCTION get_sal (p_raise_amt NUMBER, p_employee_id employees.employee_id%TYPE) RETURN NUMBER IS v_salaryNUMBER; v_raise NUMBER(8,2); BEGIN SELECT salary INTO v_salary FROM employees WHERE employee_id = p_employee_id; v_raise := p_raise_amt * v_salary; RETURN v_raise; END; Which statement is true? short",(A) This statement creates a stored procedure named get_sal.,(B) This statement returns a raise amount based on an employee id.,(C) This statement creates a stored function named get_sal with a status of invalid.,(D) This statement creates a stored function named get_sal.,(E) This statement fails.,登入後查看,https://app.yamol.tw/exam/24548?info=item.50
QUESTION 51 You need to disable all triggers on the EMPLOYEES table. Which command accomplishes this?,(A) None of these commands; you cannot disable multiple triggers on a table in one command.,(B) ALTER TRIGGERS ON TABLE employees DISABLE;,(C) ALTER employees DISABLE ALL TRIGGERS;,(D) ALTER TABLE employees DISABLE ALL TRIGGERS;,,登入後查看,https://app.yamol.tw/exam/24548?info=item.51
